parkName,stateAbbrev,stateName,totalDeferredMaintenance2019,totalDeferredMaintenance2018,totalDeferredMaintenance2017,totalDeferredMaintenance2016,nonTransportation2016,totalDeferredMaintenance2015
Great Basin National Park,NV,Nevada,17867376.71,14925849.45,17450741.12,16945076.24,8699188.953,16942598.92
Great Smoky Mountains National Park,Total,Total,202014159.4,235895972.7,215451902.1,211192042,63872000.22,232283727.4
Guadalupe Mountains National Park,TX,Texas,7940150.057,5865024.421,6411208.105,5503664.412,1820197.62,5533476.34
Haleakala National Park,HI,Hawaii,26014699.23,24382236.31,21107901.62,22384766.31,6534030.6,22331454.2
Hawaii Volcanoes National Park,HI,Hawaii,107336432.9,92735494.03,85545253.57,76214949.36,29234558.08,78932237.43
Hot Springs National Park,AR,Arkansas,14158542.95,14939420.44,12360491.16,19960757.51,8853324.26,19595323.08
Indiana Dunes National Park,IN,Indiana,28333844.98,27797754.55,26556235.84,25394949.83,22571286.27,27110696.64
Isle Royale National Park,MI,Michigan,12514386.59,17881876.68,17676294.17,14877294.24,14693968.14,15470123.56
Gateway Arch National Park,Total,Total,31260655.9,24551305.93,24446749.24,25846163.66,25310860.01,0
Joshua Tree National Park,CA,California,44380237.93,65923906.77,46796158.68,35494526.33,12793300.84,60715374.49
Katmai National Park and Preserve,AK,Alaska,7872323.5,9910310.224,9138087.8,9292783.938,9255207.762,12003876.46
Kenai Fjords National Park,AK,Alaska,1742049.046,1678524.496,1756716.512,2445318.885,1357592.74,4148151.11
Lake Clark National Park and Preserve,AK,Alaska,3331116.84,1882239.692,1444822.512,2100013.482,2100013.482,1584185.312
Lassen Volcanic National Park,CA,California,41384974.72,33426800.71,22448749.77,21446177.99,12176773.66,23818372.55
Mammoth Cave National Park,KY,Kentucky,118411234.8,92411480.74,78043316.12,94505148.76,65002425.1,82111316.82
Mesa Verde National Park,CO,Colorado,68345103.5,76307054.68,70749005.37,65733321.27,36828448.17,56939227.4
Mount Rainier National Park,WA,Washington,208753022.5,186278439.8,175819974.9,152128455.2,46915069.78,285391146.2
National Park of American Samoa,AS,American Samoa,1656843.706,1353626.016,956927.516,819076.8285,755183.34,922729.8685
New River Gorge National River,WV,West Virginia,17816393.21,21079427.55,21318668.18,22295247.76,18007979.62,17839450.59
North Cascades National Park,WA,Washington,24807949.83,22526305.14,18826842.19,26273465.56,17267577.87,21840957.41
Olympic National Park,WA,Washington,122829260,126501263,120719515.4,152227793.5,36918161.26,139821329.5
Petrified Forest National Park,AZ,Arizona,68245961.48,47989929.19,43991502.19,46888756.21,12537278.44,55692239.77
Pinnacles National Park,CA,California,19360187.31,10648600.84,9431253.076,9815737.468,4581609.909,10172434.68
Redwood National Park,CA,California,24748883.71,23635118.53,21965285.26,28144419.35,20449944.9,28913882.86
Rocky Mountain National Park,CO,Colorado,78044936.38,84100769.64,84234244.62,75073266.11,48788709.66,62761290.18
Roosevelt Campobello International Park,ME,Maine,0,0,0,0,0,0
Saguaro National Park,AZ,Arizona,23327265.64,21601752.34,19971912.49,21677274.87,11036783.83,12869043.15
