,Factors 1,Factors 2,Factors 3,Factors 4,Factors 5
<<<<<<< HEAD
SS Loadings,2.350700031494099,2.1221617315385783,1.118407520794189,0.7056430662249392,0.33833527226024984
Proportion Variance,0.19589166929117494,0.1768468109615482,0.09320062673284908,0.058803588852078266,0.028194606021687486
Cumulative Variance,0.19589166929117494,0.37273848025272316,0.4659391069855722,0.5247426958376505,0.552937301859338
Ratio Variance,0.3542746503671549,0.3198315801210611,0.1685555060572825,0.10634766121645622,0.050990602238045295
=======
