,Factors 1,Factors 2,Factors 3,Factors 4,Factors 5
SS Loadings,2.495712915314915,2.0852090430843115,1.1997275439422157,0.9827512557428449,0.5865575393497147
Proportion Variance,0.20797607627624293,0.17376742025702596,0.09997729532851797,0.08189593797857041,0.04887979494580955
Cumulative Variance,0.20797607627624293,0.3817434965332689,0.48172079186178685,0.5636167298403573,0.6124965247861668
Ratio Variance,0.33955470416562933,0.28370352030599877,0.16322916340369734,0.1337084124798287,0.07980419964484589
