Year,Park Name,temp_avg,precip_sum,visibility,uvindex,severerisk
2010,Acadia,48.0358904109589,30.409,8.885753424657535,5.863013698630137,
2010,Arches,52.28465753424658,4.9,9.490410958904109,7.367123287671233,
2010,Badlands,46.81671232876712,14.587,9.494794520547945,6.6,
2010,Big Bend,66.98465753424658,13.449,,8.405479452054795,
2010,Biscayne,74.0668493150685,42.938,9.697260273972603,7.364383561643836,
2010,Black Canyon Of The Gunnison,42.978630136986304,1.076,9.634246575342466,7.567123287671233,
2010,Bryce Canyon,41.74465753424657,16.725,9.197534246575342,7.67945205479452,
2010,Canyonlands,52.424383561643836,5.0329999999999995,10.237808219178083,7.493150684931507,
2010,Capitol Reef,49.75315068493151,12.713000000000001,37.92963988919668,7.493150684931507,
2011,Acadia,46.89232876712329,22.794999999999998,8.591506849315069,5.761643835616439,
2011,Arches,52.90301369863013,6.638,9.82027397260274,7.405479452054794,
2011,Badlands,46.526575342465755,15.988,9.328493150684931,6.50958904109589,
2011,Big Bend,70.0227397260274,3.9539999999999997,,8.608219178082193,
2011,Biscayne,76.23232876712329,50.836999999999996,9.67068493150685,7.3342465753424655,
2011,Black Canyon Of The Gunnison,42.281643835616435,0.967,9.704109589041096,7.652054794520548,
2011,Bryce Canyon,41.73205479452055,12.177,9.529395604395605,7.7835616438356166,
2011,Canyonlands,53.26931506849315,6.614,10.637808219178083,7.5917808219178085,
2011,Capitol Reef,49.59698630136987,7.247,35.53361344537815,7.580821917808219,
2012,Acadia,47.80491803278688,40.778,8.823770491803279,5.830601092896175,
2012,Arches,56.03934426229509,3.442,9.819398907103825,7.53551912568306,
2012,Badlands,50.98524590163934,13.653,9.607103825136614,6.770491803278689,
2012,Big Bend,69.32349726775956,11.471,,8.278688524590164,
2012,Biscayne,75.68989071038251,84.24,13.40464480874317,7.043715846994536,
2012,Black Canyon Of The Gunnison,45.41994535519126,0.733,9.742896174863388,7.658469945355192,
2012,Bryce Canyon,44.72622950819672,9.733,9.620218579234972,7.715846994535519,
2012,Canyonlands,55.23551912568306,3.454,10.274043715846995,7.644808743169399,
2012,Capitol Reef,53.06912568306011,5.054,38.67881040892193,7.587431693989071,
2013,Acadia,46.003287671232876,20.232,8.60849315068493,5.720547945205479,
2013,Arches,51.619452054794515,7.016,9.664931506849316,7.383561643835616,
2013,Badlands,46.31095890410959,20.113,9.348767123287672,6.586301369863014,
2013,Big Bend,66.75808219178083,12.98,,8.197260273972603,
2013,Biscayne,76.44109589041096,57.341,9.688493150684932,6.967123287671233,
2013,Black Canyon Of The Gunnison,41.985205479452055,1.299,9.558082191780823,7.493150684931507,
2013,Bryce Canyon,41.892876712328764,17.022,9.511780821917808,7.646575342465753,
2013,Canyonlands,51.40520547945206,6.886,9.664931506849316,7.610958904109589,
2013,Capitol Reef,49.78849315068493,11.367,,7.545205479452055,
2014,Acadia,45.793150684931504,49.318,8.822191780821917,5.7095890410958905,
2014,Arches,55.431232876712336,7.146,9.793424657534246,7.389041095890411,
2014,Badlands,45.798630136986304,18.624,9.415342465753424,6.465753424657534,
2014,Big Bend,67.59808219178082,12.816,,8.238356164383562,
2014,Biscayne,76.18438356164383,49.306,9.662191780821919,7.079452054794521,
2014,Black Canyon Of The Gunnison,44.003287671232876,1.068,9.721917808219178,7.457534246575342,
2014,Bryce Canyon,43.74219178082192,14.166,9.638356164383561,7.704109589041096,
2014,Canyonlands,55.13534246575343,7.152,9.796164383561644,7.5917808219178085,
2014,Capitol Reef,52.738082191780826,7.037,9.872268907563026,7.572602739726028,
2015,Acadia,45.32547945205479,33.863,8.722191780821918,5.926027397260274,
2015,Arches,55.60712328767123,8.453,9.76510989010989,7.317808219178082,
2015,Badlands,48.834794520547945,21.275,9.405205479452055,6.536986301369863,
2015,Big Bend,66.99178082191781,14.758,,8.098630136986301,
2015,Biscayne,77.76986301369863,54.597,9.655068493150685,6.953424657534247,
2015,Black Canyon Of The Gunnison,44.389589041095896,1.245,9.683287671232877,7.3561643835616435,
2015,Bryce Canyon,43.09068493150685,17.84,9.452328767123287,7.605479452054794,
2015,Canyonlands,55.50821917808219,8.449,9.778356164383561,7.432876712328767,
2015,Capitol Reef,52.10575342465753,12.779,9.814497041420118,7.424657534246576,
2016,Acadia,46.52322404371585,36.667,9.071857923497268,5.8497267759562845,
2016,Arches,56.499453551912566,4.877,9.781420765027322,7.407103825136612,
2016,Badlands,49.547814207650276,14.176,9.51311475409836,6.680327868852459,
2016,Big Bend,68.58661202185793,18.697,,8.09016393442623,
2016,Biscayne,76.70327868852459,60.952,9.654371584699453,6.7923497267759565,
2016,Black Canyon Of The Gunnison,44.095628415300546,0.922,9.723497267759564,7.420765027322404,
2016,Bryce Canyon,42.7275956284153,11.648,9.496174863387978,7.64207650273224,
2016,Canyonlands,56.26502732240437,4.879,9.799453551912569,7.5683060109289615,
2016,Capitol Reef,51.91885245901639,9.26,9.795167286245354,7.530054644808743,
2017,Acadia,46.42876712328767,21.915,8.83068493150685,5.717808219178083,
2017,Arches,57.34931506849315,3.9909999999999997,9.786027397260273,7.361643835616438,
2017,Badlands,48.57835616438356,12.8,9.518630136986301,6.6657534246575345,
2017,Big Bend,69.27041095890411,14.348,,8.180821917808219,
2017,Biscayne,77.01698630136987,49.39,9.636164383561644,7.279452054794521,
2017,Black Canyon Of The Gunnison,45.709041095890406,0.988,9.754520547945205,7.534246575342466,
2017,Bryce Canyon,44.02082191780822,9.948,9.537260273972603,7.736986301369863,
2017,Canyonlands,56.91671232876712,3.968,9.823287671232876,7.5698630136986305,
