Year,National Park,Spending
2015,Acadia NP,"7,837"
2015,Arches NP,"1,898"
2015,Badlands NP,"4,294"
2015,Big Bend NP,"6,939"
2015,Biscayne NP,"4,211"
2015,Black Canyon of the Gunnison NP,"1,751"
2015,Bryce Canyon NP,"3,232"
2015,Canyonlands NP,"6,202"
2015,Capitol Reef NP,"2,275"
2015,Carlsbad Caverns NP,"5,764"
2015,Channel Islands NP,"7,240"
2015,Congaree NP,"1,858"
2015,Crater Lake NP,"5,265"
2015,Cuyahoga Valley NP,"10,769"
2015,Death Valley NP,"8,682"
2015,Denali NP&Pres,"13,743"
2015,Dry Tortugas NP,"1,884"
2015,Everglades NP,"16,612"
2015,Gates of the Arctic NP & Preserve,"3,012"
2015,Gateway Arch,"32,930"
2015,Glacier Bay NP&Pres,"4,813"
2015,Glacier NP,"13,324"
2015,Grand Canyon NP,"21,148"
2015,Grand Teton NP,"12,275"
2015,Great Basin NP,"2,779"
2015,Great Sand Dunes NP & Preserve,"2,263"
2015,Great Smoky Mountains NP,"18,834"
2015,Guadalupe Mountains NP,"2,886"
2015,Haleakala NP,"5,317"
2015,Hawaii Volcanoes NP,"7,281"
2015,Hot Springs NP,"4,553"
2015,Indiana Dunes NL,"8,996"
2015,Isle Royale NP,"4,306"
2015,Joshua Tree NP,"6,084"
2015,"Katmai NP&Pres , A n iakch ak NM&Pres & A lagnak W R","3,927"
2015,Kenai Fjords NP,"3,771"
2015,Lake Clark NP&Pres,"3,321"
2015,Lassen Volcanic NP,"5,243"
2015,Mammoth Cave NP,"6,411"
2015,Mesa Verde NP,"6,409"
2015,Mount Rainier NP,"12,246"
2015,National Park of American Samoa,"1,925"
2015,New River Gorge National River,"7,312"
2015,"North Cascades NP, Lake Chelan NRA, Ross Lak e","7,291"
2015,Olympic NP,"12,745"
2015,Petrified Forest NP,"3,413"
2015,Pinnacles NM,"3,438"
2015,Redwood NP,"8,802"
2015,Rocky Mountain NP & Cache La Poudre,"12,434"
2015,Saguaro NP,"3,585"
2015,Sequoia NP & Kings Canyon NP,"16,411"
2015,Shenandoah NP,"11,975"
2015,Theodore Roosevelt NP,"2,849"
2015,Virgin Islands NP,"4,909"
2015,Voyageurs NP,"4,199"
2015,"Cape Krus ens tern NM, Kobuk Valley NP","3,670"
2015,White Sands NM,"1,573"
2015,Wind Cave NP,"2,644"
2025,Wrangell-Saint Elias NP & Preserve,"5,408"
2015,Yellowstone NP,"34,374"
2015,Yosemite NP,"28,600"
2015,Zion NP,"7,581"
