Year,National Park,Spending
2016,Acadia NP,"8,022"
2016,Arches NP,"1,938"
2016,Badlands NP,"4,317"
2016,Big Bend NP,"7,003"
2016,Biscayne NP,"4,234"
2016,Black Canyon of the Gunnison NP,"1,779"
2016,Bryce Canyon NP,"3,279"
2016,Canyonlands NP,"6,237"
2016,Capitol Reef NP,"2,357"
2016,Carlsbad Caverns NP,"5,721"
2016,Channel Islands NP,"7,331"
2016,Congaree NP,"1,869"
2016,Crater Lake NP,"5,348"
2016,Cuyahoga Valley NP,"10,825"
2016,Death Valley NP,"8,758"
2016,Denali NP&Pres,"13,909"
2016,Dry Tortugas NP,"1,890"
2016,Everglades NP,"16,760"
2016,Gates of the Arctic NP&Pres,"3,025"
2016,Gateway Arch,"24,769"
2016,Glacier Bay NP&Pres,"4,837"
2016,Glacier NP,"13,481"
2016,Grand Canyon NP,"21,486"
2016,Grand Teton NP,"12,369"
2016,Great Basin NP,"2,744"
2016,Great Sand Dunes NP&Pres,"2,304"
2016,Great Smoky Mountains NP,"19,111"
2016,Guadalupe Mountains NP,"2,901"
2016,Haleakala NP,"5,382"
2016,Hawaii Volcanoes NP,"7,551"
2016,Hot Springs NP,"4,577"
2016,Indiana Dunes NL,"9,046"
2016,Isle Royale NP,"4,326"
2016,Joshua Tree NP,"6,159"
2016,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR","3,981"
2016,Kenai Fjords NP,"3,855"
2016,Lake Clark NP&Pres,"3,337"
2016,Lassen Volcanic NP,"5,271"
2016,Mammoth Cave NP,"6,431"
2016,Mesa Verde NP,"6,505"
2016,Mount Rainier NP,"12,481"
2016,National Park of American Samoa,"1,933"
2016,New River Gorge NR,"7,441"
2016,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA","7,388"
2016,Olympic NP,"12,977"
2016,Petrified Forest NP,"3,542"
2016,Pinnacles NM,"3,457"
2016,Redwood NP,"8,851"
2016,Rocky Mountain NP & Cache La Poudre,"12,546"
2016,Saguaro NP,"3,634"
2016,Sequoia NP & Kings Canyon NP,"16,738"
2016,Shenandoah NP,"12,040"
2016,Theodore Roosevelt NP & International Peace Garden,"2,866"
2016,Virgin Islands NP,"5,001"
2016,Voyageurs NP,"4,380"
2016,"NPres, Cape Krusenstern NM, Kobuk Valley NP","3,705"
2016,White Sands NM,"1,612"
2016,Wind Cave NP,"2,610"
2016,Wrangell-Saint Elias NP&Pres,"5,513"
2016,Yellowstone NP,"34,712"
2016,Yosemite NP,"28,909"
2016,Zion NP,"7,621"
