Year,National Park,Spending
2021,Acadia NP,8514
2021,Arches NP,2107
2021,Badlands NP,4580
2021,Big Bend NP,7479
2021,Biscayne NP,4439
2021,Black Canyon of the Gunnison NP,1964
2021,Bryce Canyon NP,3602
2021,Canyonlands NP,6565
2021,Capitol Reef NP,2531
2021,Carlsbad Caverns NP,5960
2021,Channel Islands NP,7793
2021,Congaree NP,1955
2021,Crater Lake NP,5645
2021,Cuyahoga Valley NP,11217
2021,Death Valley NP,9587
2021,Denali NP&Pres,15111
2021,Dry Tortugas NP,2162
2021,Everglades NP,17371
2021,Gates of the Arctic NP&Pres,3260
2021,Gateway Arch NP,10373
2021,Glacier Bay NP&Pres,5237
2021,Glacier NP,14364
2021,Grand Canyon NP,22446
2021,Grand Teton NP,12985
2021,Great Basin NP,2882
2021,Great Sand Dunes NP&Pres,2403
2021,Great Smoky Mountains NP,20228
2021,Guadalupe Mountains NP,3026
2021,Haleakala NP,5767
2021,Hawaii Volcanoes NP,8227
2021,Hot Springs NP,4600
2021,Indiana Dunes NP,9478
2021,Isle Royale NP,4590
2021,Joshua Tree NP,6776
2021,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",4449
2021,Kenai Fjords NP,4195
2021,Lake Clark NP&Pres,3605
2021,Lassen Volcanic NP,5524
2021,Mammoth Cave NP,6791
2021,Mesa Verde NP,6709
2021,Mount Rainier NP,13112
2021,National Park of American Samoa,1417
2021,New River Gorge NR,7806
2021,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",7760
2021,Olympic NP,13583
2021,Petrified Forest NP,3700
2021,Pinnacles NP,3827
2021,Redwood NP,9355
2021,Rocky Mountain NP,13363
2021,Saguaro NP,3712
2021,Sequoia NP & Kings Canyon NP,17595
2021,Shenandoah NP,12629
2021,Theodore Roosevelt NP & International Peace Garden,3178
2021,Virgin Islands NP,5201
2021,Voyageurs NP,4509
2021,"West. Arctic Parklands - Bering Land Bridge NPres, Noatak NPres, Cape Krusenstern
NM, Kobuk Valley NP",3974
2021,White Sands NP,1667
2021,Wind Cave NP,2680
2021,Wrangell-Saint Elias NP&Pres,5978
2021,Yellowstone NP,36531
2021,Yosemite NP,31699
2021,Zion NP,8207
