Year,National Park,Spending
2013,Acadia NP,"7,866"
2013,Arches NP,"1,917"
2013,Badlands NP,"4,337"
2013,Big Bend NP,"6,989"
2013,Biscayne NP,"4,254"
2013,Black Canyon of the Gunnison NP,"1,647"
2013,Bryce Canyon NP,"3,268"
2013,Canyonlands NP,"6,270"
2013,Capitol Reef NP,"2,246"
2013,Carlsbad Caverns NP,"5,765"
2013,Channel Islands NP,"7,547"
2013,Congaree NP,"1,877"
2013,Crater Lake NP,"5,318"
2013,Cuyahoga Valley NP,"10,877"
2013,Death Valley NP,"8,770"
2013,Denali NP&Pres,"13,881"
2013,Dry Tortugas NP,"1,730"
2013,Everglades NP,"16,953"
2013,Gates of the Arctic NP&Pres,"2,863"
2013,Gateway Arch,"25,282"
2013,Glacier Bay NP&Pres,"4,862"
2013,Glacier NP,"13,741"
2013,Grand Canyon NP,"21,363"
2013,Grand Teton NP,"12,630"
2013,Great Basin NP,"2,757"
2013,Great Sand Dunes NP&Pres,"2,286"
2013,Great Smoky Mountains NP,"19,023"
2013,Guadalupe Mountains NP,"2,915"
2013,Haleakala NP,"5,371"
2013,Hawaii Volcanoes NP,"7,355"
2013,Hot Springs NP,"4,599"
2013,Indiana Dunes NL,"9,086"
2013,Isle Royale NP,"4,349"
2013,Joshua Tree NP,"6,145"
2013,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR","3,967"
2013,Kenai Fjords NP,"3,809"
2013,Lake Clark NP&Pres,"3,355"
2013,Lassen Volcanic NP,"5,296"
2013,Mammoth Cave NP,"6,375"
2013,Mesa Verde NP,"6,474"
2013,Mount Rainier NP,"12,168"
2013,National Park of American Samoa,"1,944"
2013,New River Gorge NR,"7,386"
2013,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA","7,365"
2013,Olympic NP,"12,874"
2013,Petrified Forest NP,"3,447"
2013,Pinnacles NM,"3,473"
2013,Redwood NP,"8,891"
2013,Rocky Mountain NP & Cache La Poudre,"12,560"
2013,Saguaro NP,"3,621"
2013,Sequoia NP & Kings Canyon NP,"16,526"
2013,Shenandoah NP,"12,544"
2013,Theodore Roosevelt NP & International Peace Garden,"2,878"
2013,Virgin Islands NP,"4,959"
2013,Voyageurs NP,"4,241"
2013,"Western Arctic National Parklands - Bering Land Bridge NPres, Noatak
NPres, Cape Krusenstern NM, Kobuk Valley NP","3,707"
2013,White Sands NM,"1,589"
2013,Wind Cave NP,"2,620"
2013,Wrangell-Saint Elias NP&Pres,"5,462"
2013,Yellowstone NP,"35,301"
2013,Yosemite NP,"29,007"
2013,Zion NP,"7,708"
