Year,National Park,Spending
2014,Acadia NP,"7,866"
2014,Arches NP,"1,917"
2014,Badlands NP,"4,337"
2014,Big Bend NP,"6,989"
2014,Biscayne NP,"4,254"
2014,Black Canyon of the Gunnison NP,"1,647"
2014,Bryce Canyon NP,"3,268"
2014,Canyonlands NP,"6,270"
2014,Capitol Reef NP,"2,246"
2014,Carlsbad Caverns NP,"5,765"
2014,Channel Islands NP,"7,547"
2014,Congaree NP,"1,877"
2014,Crater Lake NP,"5,318"
2014,Cuyahoga Valley NP,"10,877"
2014,Death Valley NP,"8,770"
2014,Denali NP&Pres,"13,881"
2014,Dry Tortugas NP,"1,730"
2014,Everglades NP,"16,953"
2014,Gates of the Arctic NP&Pres,"2,863"
2014,Gateway Arch,"25,282"
2014,Glacier Bay NP&Pres,"4,862"
2014,Glacier NP,"13,741"
2014,Grand Canyon NP,"21,363"
2014,Grand Teton NP,"12,630"
2014,Great Basin NP,"2,757"
2014,Great Sand Dunes NP&Pres,"2,286"
2014,Great Smoky Mountains NP,"19,023"
2014,Guadalupe Mountains NP,"2,915"
2014,Haleakala NP,"5,371"
2014,Hawaii Volcanoes NP,"7,355"
2014,Hot Springs NP,"4,599"
2014,Indiana Dunes NL,"9,086"
2014,Isle Royale NP,"4,349"
2014,Joshua Tree NP,"6,145"
2014,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR","3,967"
2014,Kenai Fjords NP,"3,809"
2014,Lake Clark NP&Pres,"3,355"
2014,Lassen Volcanic NP,"5,296"
2014,Mammoth Cave NP,"6,375"
2014,Mesa Verde NP,"6,474"
2014,Mount Rainier NP,"12,168"
2014,National Park of American Samoa,"1,944"
2014,New River Gorge NR,"7,386"
2014,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA","7,365"
2014,Olympic NP,"12,874"
2014,Petrified Forest NP,"3,447"
2014,Pinnacles NP,"3,473"
2014,Redwood NP,"8,891"
2014,Rocky Mountain NP & Cache La Poudre,"12,560"
2014,Saguaro NP,"3,621"
2014,Sequoia NP & Kings Canyon NP,"16,526"
2014,Shenandoah NP,"12,544"
2014,Theodore Roosevelt NP & International Peace Garden,"2,878"
2014,Virgin Islands NP,"4,959"
2014,Voyageurs NP,"4,241"
2014,"Western Arctic National Parklands - Bering Land Bridge NPres, Noatak
NPres, Cape Krusenstern NM, Kobuk Valley NP","3,707"
2014,White Sands NM,"1,589"
2014,Wind Cave NP,"2,620"
2014,Wrangell-Saint Elias NP&Pres,"5,462"
2014,Yellowstone NP,"35,301"
2014,Yosemite NP,"29,007"
2014,Zion NP,"7,708"
