Year,National Park,Spending
2019,Acadia NP,"8,169"
2019,Arches NP,"1,978"
2019,Badlands NP,"4,435"
2019,Big Bend NP,"7,290"
2019,Biscayne NP,"4,317"
2019,Black Canyon of the Gunnison NP,"1,911"
2019,Bryce Canyon NP,"3,338"
2019,Canyonlands NP,"6,354"
2019,Capitol Reef NP,"2,405"
2019,Carlsbad Caverns NP,"5,841"
2019,Channel Islands NP,"7,577"
2019,Congaree NP,1903
2019,Crater Lake NP,5470
2019,Cuyahoga Valley NP,10900
2019,Death Valley NP,8912
2019,Denali NP&Pres,14694
2019,Dry Tortugas NP,2107
2019,Everglades NP,16884
2019,Gates of the Arctic NP&Pres,3191
2019,Gateway Arch,25489
2019,Glacier Bay NP&Pres,5103
2019,Glacier NP,13862
2019,Grand Canyon NP,21654
2019,Grand Teton NP,12599
2019,Great Basin NP,2809
2019,Great Sand Dunes NP&Pres,2352
2019,Great Smoky Mountains NP,19472
2019,Guadalupe Mountains NP,2945
2019,Haleakala NP,5623
2019,Hawaii Volcanoes NP,7910
2019,Hot Springs NP,4662
2019,Indiana Dunes NL,9383
2019,Isle Royale NP,4503
2019,Joshua Tree NP,6283
2019,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",4344
2019,Kenai Fjords NP,4085
2019,Lake Clark NP&Pres,3508
2019,Lassen Volcanic NP,5397
2019,Mammoth Cave NP,6623
2019,Mesa Verde NP,6540
2019,Mount Rainier NP,12788
2019,National Park of American Samoa,2021
2019,New River Gorge NR,7598
2019,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",7581
2019,Olympic NP,13177
2019,Petrified Forest NP,3606
2019,Pinnacles NP,3603
2019,Redwood NP,9096
2019,Rocky Mountain NP,12831
2019,Saguaro NP,3726
2019,Sequoia NP & Kings Canyon NP,17150
2019,Shenandoah NP,12326
2019,Theodore Roosevelt NP & International Peace Garden,3136
2019,Virgin Islands NP,5081
2019,Voyageurs NP,4222
2019,"West. Arctic Parklands - Bering Land Bridge NPres, Noatak NPres, Cape Krusenstern
NM, Kobuk Valley NP",3883
2019,White Sands NM,1640
2019,Wind Cave NP,2597
2019,Wrangell-Saint Elias NP & Preserve,5804
2019,Yellowstone NP,35463
2019,Yosemite NP,31064
2019,Zion NP,7762
