Year,National Park,Spending
2012,Acadia NP,"8,183"
2012,Arches NP,"1,981"
2012,Badlands NP,"4,485"
2012,Big Bend NP,"7,387"
2012,Biscayne NP,"4,384"
2012,Black Canyon of the Gunnison NP,"1,701"
2012,Bryce Canyon NP,"3,531"
2012,Canyonlands NP,"6,797"
2012,Capitol Reef NP,"2,382"
2012,Carlsbad Caverns NP,"6,279"
2012,Channel Islands NP,"7,579"
2012,Congaree NP,"1,935"
2012,Crater Lake NP,"5,530"
2012,Cuyahoga Valley NP,"11,143"
2012,Death Valley NP,"9,132"
2012,Denali NP&Pres,"13,976"
2012,Dry Tortugas NP,"1,785"
2012,Everglades NP,"17,491"
2012,Gates of the Arctic NP&Pres,"2,881"
2012,Gateway Arch,"26,089"
2012,Glacier Bay NP&Pres,"4,821"
2012,Glacier NP,"14,410"
2012,Grand Canyon NP,"23,076"
2012,Grand Teton NP,"13,733"
2012,Great Basin NP,"2,861"
2012,Great Sand Dunes NP&Pres,"2,366"
2012,Great Smoky Mountains NP,"19,637"
2012,Guadalupe Mountains NP,"3,017"
2012,Haleakala NP,"5,436"
2012,Hawaii Volcanoes NP,"7,018"
2012,Hot Springs NP,"4,751"
2012,Indiana Dunes NL,"9,371"
2012,Isle Royale NP,"4,497"
2012,Joshua Tree NP,"6,381"
2012,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR","3,949"
2012,Kenai Fjords NP,"3,807"
2012,Lake Clark NP&Pres,"3,351"
2012,Lassen Volcanic NP,"5,500"
2012,Mammoth Cave NP,"6,583"
2012,Mesa Verde NP,"7,001"
2012,Mount Rainier NP,"12,379"
2012,National Park of American Samoa,"1,951"
2012,New River Gorge NR,"7,585"
2012,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA","7,669"
2012,Olympic NP,"13,231"
2012,Petrified Forest NP,"3,701"
2012,Pinnacles NM,"3,601"
2012,Redwood NP,"9,222"
2012,Rocky Mountain NP & Cache La Poudre,"13,469"
2012,Saguaro NP,"3,933"
2012,Sequoia NP & Kings Canyon NP,"17,306"
2012,Shenandoah NP,"13,009"
2012,Theodore Roosevelt NP & International Peace Garden,"2,975"
2012,Virgin Islands NP,"5,153"
2012,Voyageurs NP,"5,139"
2012,"Western Arctic National Parklands - Bering Land Bridge NPres, Noatak
NPres, Cape Krusenstern NM, Kobuk Valley NP","3,720"
2012,White Sands NM,"1,646"
2012,Wind Cave NP,"2,707"
2012,Wrangell-Saint Elias NP&Pres,"5,417"
2012,Yellowstone NP,"36,958"
2012,Yosemite NP,"29,855"
2012,Zion NP,"8,307"
