Year,National Park,Spending
2017,Acadia NP,"8,144"
2017,Arches NP,"1,972"
2017,Badlands NP,"4,424"
2017,Big Bend NP,"7,272"
2017,Biscayne NP,"4,280"
2017,Black Canyon of the Gunnison NP,"1,905"
2017,Bryce Canyon NP,"3,329"
2017,Canyonlands NP,"6,328"
2017,Capitol Reef NP,"2,397"
2017,Carlsbad Caverns NP,"5,819"
2017,Channel Islands NP,"7,456"
2017,Congaree NP,"1,890"
2017,Crater Lake NP,"5,452"
2017,Cuyahoga Valley NP,"11,035"
2017,Death Valley NP,"8,885"
2017,Denali NP&Pres,"14,531"
2017,Dry Tortugas NP,"2,083"
2017,Everglades NP,"16,835"
2017,Gates of the Arctic NP&Pres,"3,172"
2017,Gateway Arch,"25,346"
2017,Glacier Bay NP&Pres,"5,073"
2017,Glacier NP,"13,823"
2017,Grand Canyon NP,"21,733"
2017,Grand Teton NP,"12,561"
2017,Great Basin NP,"2,799"
2017,Great Sand Dunes NP&Pres,"2,344"
2017,Great Smoky Mountains NP,"19,426"
2017,Guadalupe Mountains NP,"2,937"
2017,Haleakala NP,"5,596"
2017,Hawaii Volcanoes NP,"7,871"
2017,Hot Springs NP,"4,652"
2017,Indiana Dunes NL,"9,447"
2017,Isle Royale NP,"4,661"
2017,Joshua Tree NP,"6,245"
2017,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR","4,327"
2017,Kenai Fjords NP,"4,066"
2017,Lake Clark NP&Pres,"3,493"
2017,Lassen Volcanic NP,"5,385"
2017,Mammoth Cave NP,"6,588"
2017,Mesa Verde NP,"6,602"
2017,Mount Rainier NP,"12,735"
2017,National Park of American Samoa,"2,013"
2017,New River Gorge NR,"7,575"
2017,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA","7,551"
2017,Olympic NP,"13,142"
2017,Petrified Forest NP,"3,596"
2017,Pinnacles NM,"3,582"
2017,Redwood NP,"9,071"
2017,Rocky Mountain NP,"12,772"
2017,Saguaro NP,"3,688"
2017,Sequoia NP & Kings Canyon NP,"17,109"
2017,Shenandoah NP,"12,287"
2017,Theodore Roosevelt NP & International Peace Garden,"2,985"
2017,Virgin Islands NP,"5,050"
2017,Voyageurs NP,"4,318"
2017,"Noatak NPres, Cape Krusenstern NM, Kobuk Valley NP","3,868"
2017,White Sands NM,"1,635"
2017,Wind Cave NP,"2,703"
2017,Wrangell-Saint Elias NP&Pres,"5,775"
2017,Yellowstone NP,"35,393"
2017,Yosemite NP,"30,983"
2017,Zion NP,"7,745"
