Year,National Park,Spending
2011,Acadia NP,8269
2011,Arches NP,1981
2011,Badlands NP,4575
2011,Big Bend NP,7387
2011,Biscayne NP,4461
2011,Black Canyon of the Gunnison NP,1701
2011,Bryce Canyon NP,3531
2011,Canyonlands NP,6797
2011,Capitol Reef NP,2382
2011,Carlsbad Caverns NP,6279
2011,Channel Islands NP,7579
2011,Congaree NP,1935
2011,Crater Lake NP,5530
2011,Cuyahoga Valley NP,11238
2011,Death Valley NP,9132
2011,Denali NP & Preserve,13976
2011,Dry Tortugas NP,1785
2011,Everglades NP,17991
2011,Gates of the Arctic NP & Preserve,2881
2011,Gateway Arch,26538
2011,Glacier Bay NP & Preserve,4821
2011,Glacier NP,14410
2011,Grand Canyon NP,23076
2011,Grand Teton NP,13733
2011,Great Basin NP,2861
2011,Great Sand Dunes NP & Preserve,2366
2011,Great Smoky Mountains NP,20341
2011,Guadalupe Mountains NP,3017
2011,Haleakala NP,5329
2011,Hawaii Volcanoes NP,7125
2011,Hot Springs NP,4751
2011,Indiana Dunes NL,9508
2011,Isle Royale NP,4593
2011,Joshua Tree NP,6381
2011,"Katmai NP&Pres, Aniakchak NM&Pres, & Alagnak",3949
2011,Kenai Fjords NP,3807
2011,Lake Clark NP & Preserve,3351
2011,Lassen Volcanic NP,5500
2011,Mammoth Cave NP,6819
2011,Mesa Verde NP,7001
2011,Mount Rainier NP,12379
2011,National Park of American Samoa,1951
2011,New River Gorge National River,7674
2011,"North Cascades NP, Lake Chelan NRA, Ross Lak e",7669
2011,Olympic NP,13060
2011,Petrified Forest NP,3701
2011,Pinnacles NM,3601
2011,Redwood NP,9222
2011,Rocky Mountain NP,13469
2011,Saguaro NP,3933
2011,Sequoia NP & Kings Canyon NP,17306
2011,Shenandoah NP,13171
2011,Theodore Roosevelt NP,3034
2011,Virgin Islands NP,5153
2011,Voyageurs NP,5163
2011,"Western Arctic National Parklands -Bering Land Bridge NPres, Noatak NPres,
Cape Krusenstern NM, Kobuk Valley NP",3841
2011,White Sands NM,1646
2011,Wind Cave NP,2810
2011,Wrangell-Saint Elias NP & Preserve,5417
2011,Yellowstone NP,36958
2011,Yosemite NP,29855
2011,Zion NP,8307
