Year,National Park,Spending
2022,Acadia NP,8777
2022,Arches NP,2183
2022,Badlands NP,4537
2022,Big Bend NP,7718
2022,Biscayne NP,4500
2022,Black Canyon of the Gunnison NP,2019
2022,Bryce Canyon NP,3702
2022,Canyonlands NP,6797
2022,Capitol Reef NP,2615
2022,Carlsbad Caverns NP,6106
2022,Channel Islands NP,7917
2022,Congaree NP,1817
2022,Crater Lake NP,5673
2022,Cuyahoga Valley NP,11592
2022,Death Valley NP,9710
2022,Denali NP&Pres,15556
2022,Dry Tortugas NP,2224
2022,Everglades NP,17885
2022,Gates of the Arctic NP&Pres,3334
2022,Gateway Arch NP,10736
2022,Glacier Bay NP&Pres,5406
2022,Glacier NP,15115
2022,Grand Canyon NP,23027
2022,Grand Teton NP,13398
2022,Great Basin NP,2904
2022,Great Sand Dunes NP&Pres,2760
2022,Great Smoky Mountains NP,20664
2022,Guadalupe Mountains NP,3128
2022,Haleakala NP,5925
2022,Hawaii Volcanoes NP,8297
2022,Hot Springs NP,4831
2022,Indiana Dunes NP,9748
2022,Isle Royale NP,4678
2022,Joshua Tree NP,6827
2022,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",4566
2022,Kenai Fjords NP,4302
2022,Lake Clark NP&Pres,3715
2022,Lassen Volcanic NP,5522
2022,Mammoth Cave NP,7010
2022,Mesa Verde NP,6792
2022,Mount Rainier NP,12955
2022,National Park of American Samoa,1452
2022,New River Gorge NP & Pres.,8026
2022,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",7841
2022,Olympic NP,13769
2022,Petrified Forest NP,3822
2022,Pinnacles NP,3876
2022,Redwood NP,9522
2022,Rocky Mountain NP,13807
2022,Saguaro NP,3986
2022,Sequoia NP & Kings Canyon NP,17705
2022,Shenandoah NP,13039
2022,Theodore Roosevelt NP & International Peace Garden,3210
2022,Virgin Islands NP,5326
2022,Voyageurs NP,4425
2022,Kobuk Valley NP,2759
2022,White Sands NP,1718
2022,Wind Cave NP,2765
2022,Wrangell-Saint Elias NP&Pres,6158
2022,Yellowstone NP,37371
2022,Yosemite NP,31109
2022,Zion NP,8475
