Year,National Park,Spending
2018,Acadia NP,"8,129"
2018,Arches NP,"1,968"
2018,Badlands NP,"4,415"
2018,Big Bend NP,"7,255"
2018,Biscayne NP,"4,290"
2018,Black Canyon of the Gunnison NP,"1,901"
2018,Bryce Canyon NP,3323
2018,Canyonlands NP,6322
2018,Capitol Reef NP,2392
2018,Carlsbad Caverns NP,5815
2018,Channel Islands NP,7523
2018,Congaree NP,1894
2018,Crater Lake NP,5442
2018,Cuyahoga Valley NP,10836
2018,Death Valley NP,8868
2018,Denali NP&Pres,14603
2018,Dry Tortugas NP,2095
2018,Everglades NP,16774
2018,Gates of the Arctic NP&Pres,3166
2018,Gateway Arch,25298
2018,Glacier Bay NP&Pres,5063
2018,Glacier NP,13777
2018,Grand Canyon NP,21546
2018,Grand Teton NP,12537
2018,Great Basin NP,2794
2018,Great Sand Dunes NP&Pres,2340
2018,Great Smoky Mountains NP,19377
2018,Guadalupe Mountains NP,2931
2018,Haleakala NP,5585
2018,Hawaii Volcanoes NP,7856
2018,Hot Springs NP,4639
2018,Indiana Dunes NL,9366
2018,Isle Royale NP,4614
2018,Joshua Tree NP,6233
2018,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",4319
2018,Kenai Fjords NP,4058
2018,Lake Clark NP&Pres,3486
2018,Lassen Volcanic NP,5370
2018,Mammoth Cave NP,6587
2018,Mesa Verde NP,6507
2018,Mount Rainier NP,12701
2018,National Park of American Samoa,2009
2018,New River Gorge NR,7561
2018,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",7530
2018,Olympic NP,13107
2018,Petrified Forest NP,"3,589"
2018,Pinnacles NM,"3,575"
2018,Redwood NP,"9,048"
2018,Rocky Mountain NP,"12,738"
2018,Saguaro NP,"3,690"
2018,Sequoia NP & Kings Canyon NP,"17,060"
2018,Shenandoah NP,"12,264"
2018,Theodore Roosevelt NP & International Peace Garden,"2,937"
2018,Virgin Islands NP,"5,040"
2018,Voyageurs NP,"4,200"
2018,"West. Arctic Parklands - Bering Land Bridge NPres, Noatak NPres,
Cape Krusenstern NM, Kobuk Valley NP","3,861"
2018,White Sands NM,"1,632"
2018,Wind Cave NP,"2,582"
2018,Wrangell-Saint Elias NP&Pres,"5,764"
2018,Yellowstone NP,"35,296"
2018,Yosemite NP,"30,910"
2018,Zion NP,"7,722"
