Year,National Park,Spending
2023,Acadia NP,"8,777"
2023,Arches NP,"2,183"
2023,Badlands NP,"4,537"
2023,Big Bend NP,"7,718"
2023,Biscayne NP,"4,500"
2023,Black Canyon of the Gunnison NP,"2,019"
2023,Bryce Canyon NP,"3,702"
2023,Canyonlands NP,"6,797"
2023,Capitol Reef NP,"2,615"
2023,Carlsbad Caverns NP,"6,106"
2023,Channel Islands NP,"7,917"
2023,Congaree NP,"1,817"
2023,Crater Lake NP,"5,673"
2023,Cuyahoga Valley NP,"11,592"
2023,Death Valley NP,"9,710"
2023,Denali NP&Pres,"15,556"
2023,Dry Tortugas NP,"2,224"
2023,Everglades NP,"17,885"
2023,Gates of the Arctic NP&Pres,"3,334"
2023,Gateway Arch NP,"10,736"
2023,Glacier Bay NP&Pres,"5,406"
2023,Glacier NP,"15,115"
2023,Grand Canyon NP,"23,027"
2023,Grand Teton NP,"13,398"
2023,Great Basin NP,"2,904"
2023,Great Sand Dunes NP&Pres,"2,760"
2023,Great Smoky Mountains NP,"20,664"
2023,Guadalupe Mountains NP,"3,128"
2023,Haleakala NP,"5,925"
2023,Hawaii Volcanoes NP,"8,297"
2023,Hot Springs NP,"4,831"
2023,Indiana Dunes NP,"9,748"
2023,Isle Royale NP,"4,678"
2023,Joshua Tree NP,"6,827"
2023,"Katahdin Woods and Waters NM
Katmai NP&Pres, Aniakchak NM&Pres & Alagnak",591
2023,Kenai Fjords NP,"4,302"
2023,Lake Clark NP&Pres,"3,715"
2023,Lassen Volcanic NP,"5,522"
2023,Mammoth Cave NP,"7,010"
2023,Mesa Verde NP,"6,792"
2023,Mount Rainier NP,"12,955"
2023,National Park of American Samoa,"1,452"
2023,New River Gorge NP&Pres,"8,026"
2023,"Niobrara NSR
North Cascades NP, Lake Chelan NRA, Ross Lake","1,069"
2023,Olympic NP,"13,769"
2023,Petrified Forest NP,"3,822"
2023,Pinnacles NP,"3,876"
2023,Redwood NP,"9,522"
2023,Rocky Mountain NP,"13,807"
2023,Saguaro NP,"3,986"
2023,Sequoia NP & Kings Canyon NP,"17,705"
2023,Shenandoah NP,"13,039"
2023,Theodore Roosevelt NP & International Peace Garden,"3,210"
2023,Virgin Islands NP,"5,326"
2023,Voyageurs NP,"4,425"
2023,"Krusenstern NM, Kobuk Valley NP","2,759"
2023,White Sands NP,"1,718"
2023,Wind Cave NP,"2,765"
2023,Wrangell-Saint Elias NP&Pres,"6,158"
2023,Yellowstone NP,"37,371"
2023,Yosemite NP,"31,109"
2023,Zion NP,"8,475"
