UNIT_CODE,UNIT_NAME,UNIT_TYPE,STATE,Abandoned Wells within 30 miles,active_wells_in_parks,at_risk
JEFF,Gateway Arch National Park,National Park,MO,410,0,0
FOPU,Fort Pulaski National Monument,National Monument,GA,0,,
ELRO,Eleanor Roosevelt National Historic Site,National Historic Site,NY,0,,
FRHI,Friendship Hill National Historic Site,National Historic Site,PA,367,,
THRB,Theodore Roosevelt Birthplace National Historic Site,National Historic Site,NY,6,,
CORO,Coronado National Memorial,National Memorial,AZ,0,,
WRBR,Wright Brothers National Memorial,National Memorial,NC,0,,
SEMO,Selma to Montgomery National Historic Trail,National Historic Trail,AL,5,,
KIMO,Kings Mountain National Military Park,National Military Park,SC,0,,
GOSP,Golden Spike National Historical Park,National Historical Park,UT,0,,
NEBE,New Bedford Whaling National Historical Park,National Historical Park,MA,0,,
SAHI,Sagamore Hill National Historic Site,National Historic Site,NY,1,,
LABE,Lava Beds National Monument,National Monument,CA,0,,
WORI,Women's Rights National Historical Park,National Historical Park,NY,187,,
GERO,George Rogers Clark National Historical Park,National Historical Park,IN,2873,,
LONG,Longfellow House-Washington's Headquarters National Historic Site,National Historic Site,MA,0,,
HOFU,Hopewell Furnace National Historic Site,National Historic Site,PA,0,,
MOCA,Montezuma Castle National Monument,National Monument,AZ,0,,
KICA,Kings Canyon National Park,National Park,CA,0,0,0
SPAR,Springfield Armory National Historic Site,National Historic Site,MA,0,,
WHMI,Whitman Mission National Historic Site,National Historic Site,WA,0,,
WWII,World War II Memorial,National Memorial,DC,0,,
VIVE,Vietnam Veterans Memorial,National Memorial,DC,0,,
KOWA,Korean War Veterans Memorial,National Memorial,DC,0,,
COGA,Constitution Gardens,Other Designation,DC,0,,
MLKM,"Martin Luther King, Jr., Memorial",National Memorial,DC,0,,
LINC,Lincoln Memorial,National Memorial,DC,0,,
MALL,National Mall,Other Designation,DC,0,,
RUCA,Russell Cave National Monument,National Monument,AL,5,,
MAWA,Maggie L. Walker National Historic Site,National Historic Site,VA,0,,
BICA,Bighorn Canyon National Recreation Area,National Recreation Area,WY,147,,
PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park,HI,0,,
SAND,Sand Creek Massacre National Historic Site,National Historic Site,CO,5,,
KNRI,Knife River Indian Villages National Historic Site,National Historic Site,ND,26,,
MORR,Morristown National Historical Park,National Historical Park,NJ,0,,
MAVA,Martin Van Buren National Historic Site,National Historic Site,NY,0,,
GOIS,Governors Island National Monument,National Monument,NY,6,,
SCBL,Scotts Bluff National Monument,National Monument,NE,1751,,
JOFL,Johnstown Flood National Memorial,National Memorial,PA,1,,
AGFO,Agate Fossil Beds National Monument,National Monument,NE,185,,
RRBH,Ronald Reagan Boyhood Home National Historic Site,National Historic Site,IL,13,,
CARE,Capitol Reef National Park,National Park,UT,3,0,0
FLNI,Flight 93 National Memorial,National Memorial,PA,0,,
DEPO,Devils Postpile National Monument,National Monument,CA,0,,
SAFR,San Francisco Maritime National Historical Park,National Historical Park,CA,1,,
VICR,Virgin Islands Coral Reef National Monument,National Monument,VI,0,,
MABI,Marsh-Billings-Rockefeller National Historical Park,National Historical Park,VT,0,,
LIRI,Little River Canyon National Preserve,National Preserve,AL,4,,
CHYO,Charles Young Buffalo Soldiers National Monument,National Monument,OH,0,,
DAAV,Dayton Aviation Heritage National Historical Park,National Historical Park,OH,0,,
EISE,Eisenhower National Historic Site,National Historic Site,PA,0,,
CECH,Cesar E. Chavez National Monument,National Monument,CA,702,,
FONE,Fort Necessity National Battlefield,National Battlefield,PA,85,,
SAPU,Salinas Pueblo Missions National Monument,National Monument,NM,0,,
PINN,Pinnacles National Park,National Park,CA,50,0,0
