X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedBySystem,CreatedOnDateTime,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FSJobCode,FSOverrideCode,GACC,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseDateTime,IsFireCauseInvestigated,IsFSAssisted,IsReimbursable,IsTrespass,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,UniqueFireIdentifier,FORID,InitialResponseAgencies,FireCauseID,FireCauseGeneralID,FireCauseSpecificID,FireCauseSpecificDetailID,FireCauseAgeCategoryID,FireCauseActivityGroupID,GlobalID,IsCauseProhibited,ModifiedBySystem,RelatedIrwinIDs,Status,AcresBIA,AcresBLM,AcresBOR,AcresDOD,AcresDOE,AcresNPS,AcresUSFS,AcresUSFWS,AcresForeign,AcresTribal,AcresCity,AcresCounty,AcresState,AcresPrivate,AcresANCSA,AcresOtherLocal,AcresOtherFederal
-124.1514269,41.72449867,3038220,,CERTIFIED,0.1,,,wildcad,1.59433E+12,0.1,,CANCIC,,0.1,,,2021/02/01 22:25:47+00,,M886,,2020/07/05 08:42:00+00,,2020/07/07 22:00:00+00,,,ONCC,CRESCENT 12,,WF,FI,41.72448,-124.1491,2020/07/05 08:43:00+00,,1,,0,544,2021/02/01 22:25:48+00,,,Del Norte,CANCIC,6015,NPS,CARWP,,NPS,Federal,NPS,CARWP,US-CA,Grass-Shrub,GS4,2020-CARWP-000544,{5ADBC398-078A-49C5-8D1A-486F24580031},,3,13,62,,,,{B1677263-38D7-4EBC-BD0A-F50A91388FEB},,INFORM_Inspector,{12168615-4737-48FB-9BA0-073E31D9F6ED},Certified,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
-108.9458111,40.48529623,3038482,,CERTIFIED,0.31,2020/06/26 20:30:00+00,2020/06/26 23:30:00+00,wildcad,1.5932E+12,0.2,,COCRC,,0.11,,,2020/12/04 15:50:19+00,,M7QK,,2020/06/26 18:38:00+00,,2020/07/03 19:15:00+00,,,RMCC,BILLIARD TABLE,,WF,FI,40.48522,-108.9459,2020/06/26 18:38:00+00,,1,,0,106,2020/12/04 15:50:20+00,,,Moffat,COCRC,8081,NPS,CODSP,,NPS,Federal,NPS,CODSP,US-CO,Timber,TU2,2020-CODSP-000106,{9DB7B501-0FB9-468B-ADAB-46CD554D3D6C},,1,1,1,,,,{4206CF88-5144-4ED0-B596-EDAD64C94E2A},,INFORM_Inspector,{9CC15EB3-A634-4866-B5E9-088E32255711},Certified,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0
-92.75504668,35.97316652,3038541,,CERTIFIED,670.39,,,wildcad,1.60568E+12,518,,ARAOC,,670.39,,,2021/10/12 14:37:39+00,,,,2020/11/17 17:00:00+00,,,,,SACC,21 Tyler Bend Road North,,RX,FI,35.97316,-92.75504,,,0,,0,2104,2021/10/12 14:37:40+00,,,Searcy,ARAOC,5129,NPS,ARBUP,,,,NPS,ARBUP,US-AR,,,2020-ARBUP-002104,{D714AED3-280E-4A01-9885-DD52D317652C},,2,2,,,,,{D3870C45-6122-4231-90EB-FCC105D4BCB5},,INFORM_Inspector,{EAB0BA3C-1C5A-46D0-8C3D-08D7CE9ABAA7},Certified,0,0,0,0,0,645.97,0,0,0,0,0,0,0,24.42,0,0,0
-81.17993298,26.03160473,3038644,,CERTIFIED,0.1,2020/07/16 16:00:00+00,2020/07/16 16:10:00+00,wildcad,1.59491E+12,0.1,,FLFIC,,0.1,,,2020/08/03 18:09:39+00,,M9WY,,2020/07/16 14:41:00+00,,2020/07/16 16:20:00+00,PP,1502,SACC,Rock Fish,,WF,FI,26.0316,-81.17993,2020/07/16 15:30:00+00,,1,,0,318,2020/08/03 18:09:40+00,,,Collier,FLFIC,12021,NPS,FLBCP,,NPS,Federal,NPS,FLBCP,US-FL,Brush,SH4,2020-FLBCP-000318,{ACC087B1-2DB3-407D-9BDB-609CAF0C7202},,1,1,1,,,,{162D43C3-7119-45D5-86B4-2D8C96FE69F8},,INFORM_Inspector,{F7576D67-C247-4138-A702-095D091A0B75},Certified,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
-112.0353112,35.99967546,3038771,,CERTIFIED,0.1,2020/09/13 19:59:00+00,2020/09/16 16:20:00+00,wildcad,1.60004E+12,0.1,,AZWDC,,0.1,,,2020/11/04 16:42:13+00,,NK78,,2020/09/13 18:50:00+00,,2020/09/16 16:20:00+00,PP,1502,SWCC,THOR,,WF,FI,35.99967,-112.0353,2020/09/13 18:55:00+00,,1,,0,52,2020/11/04 16:48:29+00,,,Coconino,AZWDC,4005,NPS,AZGCP,,NPS,Federal,NPS,AZGCP,US-AZ,Grass,GR2,2020-AZGCP-000052,{868C0BEB-562B-451D-A09A-4F43F6767E41},,3,13,,,,,{5A748B2F-1CE3-4A8C-8F94-C3326335354D},,INFORM_Inspector,{AE3D4D37-A063-4527-B5BB-09E3DF23D635},Certified,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
-114.6631117,35.86714528,3039378,,CERTIFIED,0.1,2020/08/28 19:00:00+00,2020/08/28 19:00:00+00,wildcad,1.59865E+12,0.1,,NVLIC,,0.1,,,2020/09/10 16:36:54+00,,NH31,,2020/08/28 05:06:00+00,,2020/08/28 20:00:00+00,,,GBCC,JUMBO WASH,,WF,FI,35.78436,-114.6358,2020/08/28 18:00:00+00,0,1,,0,501321,2020/09/10 16:36:55+00,,,Mohave,NVLIC,4015,NPS,NVLAP,,NPS,Federal,NPS,NVLAP,US-AZ,Slash,SB1,2020-NVLAP-501321,{11E81413-00D0-452E-A4CE-267454C6D92D},,3,9,,,,,{A87CAADF-D8BE-46AF-B99E-39C0AAC14D82},,INFORM_Inspector,{004E1152-151C-4AE2-9CFD-0CD3A29CBB63},Certified,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
-82.01490353,34.14880661,3039568,,CERTIFIED,0.1,2021/03/06 20:00:00+00,2021/03/06 20:05:00+00,wildcad,1.61592E+12,0.1,,SCSCC,,0.1,,,2021/04/12 20:30:25+00,,NVG4,,2021/03/06 19:15:00+00,,2021/03/06 22:00:00+00,PP,1502,SACC,Road 2,,WF,FI,34.1488,-82.0149,2021/03/06 19:16:00+00,1,1,,0,154,2021/04/12 20:30:27+00,,,Greenwood,SCSCC,45047,NPS,SCNIP,,NPS,Federal,NPS,SCKMP,US-SC,Timber,TL6,2021-SCKMP-000154,{81ADDEED-4EA7-40D1-B2FB-1978F22E676E},,3,13,60,,,,{196B2CB3-3174-42A7-896A-38A0B295BF8A},,INFORM_Inspector,{EFD7BC4E-F073-4EEE-B48B-0DB2345C9F48},Certified,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
-112.0689112,36.03522546,3039619,,CERTIFIED,0.1,2020/06/11 17:30:00+00,2020/06/12 17:22:00+00,wildcad,1.5919E+12,0.1,,AZWDC,,0.1,,,2020/08/05 16:20:39+00,,M6E8,,2020/06/11 16:25:00+00,,2020/06/12 17:22:00+00,,,SWCC,SHOSHONE,,WF,FI,36.03522,-112.0689,2020/06/11 16:30:00+00,,0,,0,20,2020/08/05 16:20:39+00,,,Coconino,AZWDC,4005,NPS,AZGCP,,NPS,Federal,NPS,AZGCP,US-AZ,Timber,TL3,2020-AZGCP-000020,{3E2BFF31-CAF7-4181-8CC2-9B48C7C56613},,3,13,62,,,,{7B933A7C-1B6C-4031-804E-C02218E276F6},,INFORM_Inspector,{8605F04C-D9D4-4E68-BA44-0DFDD5AFB105},Certified,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
-119.5751128,37.72871515,3039672,,CERTIFIED,0.1,2020/05/27 21:30:00+00,2020/05/27 21:30:00+00,wildcad,1.59076E+12,0.1,,CAYPCC,,0.1,,,2020/06/27 20:51:17+00,,M48L,,2020/05/27 20:30:00+00,,2020/05/27 22:00:00+00,,,OSCC,Geology,,WF,FI,37.72871,-119.5751,2020/05/27 21:00:00+00,1,0,,0,4,2020/06/27 20:51:18+00,,,Mariposa,CAYPCC,6043,NPS,CAYNP,,NPS,Federal,NPS,CAYNP,US-CA,Timber,TL6,2020-CAYNP-000004,{0493531A-D846-4E86-8C15-D6142E457767},,3,9,60,,,,{0451C6D5-2B67-4261-A5F4-C2B63B5C85A7},,INFORM_Inspector,{3674E01D-1886-49BE-9679-0E40D3C08F6E},Certified,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
-112.8555111,31.95134487,3039788,,CERTIFIED,0.25,,2021/04/20 21:00:00+00,wildcad,1.61895E+12,0.25,,AZTDC,,0.25,,,2021/05/07 16:39:15+00,,NY71,,2021/04/20 19:50:00+00,,2021/04/21 03:00:00+00,PP,1522,SWCC,SENITA BASIN,,WF,FI,31.9515,-112.8559,2021/04/20 20:00:00+00,1,1,,0,223,2021/05/07 16:39:17+00,,,Pima,AZTDC,4019,NPS,AZORP,,NPS,Federal,NPS,AZORP,US-AZ,Brush,SH5,2021-AZORP-000223,{F30C481F-069F-44E8-A20F-5B24AC6728E8},,3,13,3,,,,{9A1FD7EA-5F74-4DE1-92B1-A8C8BD0BA38A},,INFORM_Inspector,{1DF0814B-D090-410F-BCEC-0ECD625B6BA5},Certified,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
